Eingangsleistung;DJI Avinox;Specialized 3.1 S-Works;Bosch CX 5 (100 Nm);Gobao P101
233;772,9205938;651,9614231;684,6960616;691,163421
234;772,843461;651,8968373;684,6323873;691,0905809
235;772,7668647;651,8313705;684,5495042;691,0166194
236;772,690838;651,7650391;684,4483858;690,941424
237;772,615413;651,6978633;684,3299935;690,8648899
238;772,540621;651,6298673;684,1952753;690,7869206
239;772,4664924;651,5610789;684,0451644;690,707428
240;772,3930565;651,4915289;683,8805775;690,6263325
241;772,3203418;651,4212506;683,7024139;690,543563
242;772,2483758;651,3502802;683,5115546;690,4590575
243;772,1771848;651,2786557;683,3088607;690,3727625
244;772,1067941;651,2064172;683,0951731;690,2846332
245;772,0372278;651,1336063;682,8713112;690,1946339
246;771,9685088;651,0602659;682,6380724;690,1027372
247;771,9006589;650,9864402;682,3962315;690,0089244
248;771,8336984;650,9121741;682,1465402;689,9131855
249;771,7676468;650,8375133;681,8897261;689,8155185
250;771,7025218;650,762504;681,6264931;689,7159297
251;771,63834;650,6871926;681,3575204;689,6144334
252;771,5751169;650,6116258;681,0834624;689,5110515
253;771,5128662;650,5358501;680,8049487;689,4058136
254;771,4516005;650,459912;680,522584;689,2987562
255;771,3913309;650,3838574;680,2369474;689,1899231
256;771,3320671;650,3077322;679,9485931;689,0793647
257;771,2738176;650,2315813;679,6580502;688,9671379
258;771,2165891;650,1554492;679,3658225;688,8533053
259;771,1603871;650,0793795;679,072389;688,7379358
260;771,1052156;650,0034151;678,778204;688,6211032
261;771,0510772;649,9275977;678,483697;688,5028869
262;770,9979731;649,8519682;678,1892734;688,3833707
263;770,9459028;649,7765662;677,8953145;688,2626429
264;770,8948648;649,7014305;677,602178;688,1407958
265;770,8448557;649,6265982;677,3101982;688,0179256
266;770,7958711;649,5521057;677,0196866;687,8941314
267;770,7479049;649,4779876;676,730932;687,7695158
268;770,7009496;649,4042774;676,4442013;687,6441835
269;770,6549966;649,3310073;676,1597399;687,5182417
270;770,6100356;649,2582081;675,877772;687,3917994
271;770,5660552;649,185909;675,5985014;687,2649673
272;770,5230425;649,114138;675,3221118;687,1378569
273;770,4809833;649,0429215;675,0487673;687,0105808
274;770,4398622;648,9722846;674,7786135;686,8832519
275;770,3996626;648,9022508;674,5117774;686,7559834
276;770,3603665;648,8328424;674,2483683;686,6288881
277;770,3219548;648,7640799;673,9884786;686,5020784
278;770,2844072;648,6959827;673,7321842;686,3756656
279;770,2477022;648,6285685;673,4795449;686,2497602
280;770,2118174;648,5618539;673,2306056;686,1244709
281;770,176729;648,4958539;672,9853965;685,9999047
282;770,1424125;648,430582;672,7439338;685,8761666
283;770,1088422;648,3660507;672,5062204;685,7533592
284;770,0759915;648,3022708;672,2722466;685,6315826
285;770,043833;648,239252;672,0419907;685,5109338
286;770,0123381;648,1770027;671,8154195;685,391507
287;769,9814778;648,1155299;671,5924891;685,2733928
288;769,9512219;648,0548395;671,3731454;685,1566783
289;769,9215399;647,9949362;671,1573251;685,0414469
290;769,8924002;647,9358233;670,9449557;684,9277781
291;769,8637707;647,8775033;670,7359565;684,815747
292;769,8356189;647,8199773;670,5302393;684,7054246
293;769,8079114;647,7632455;670,3277087;684,5968772
294;769,7806146;647,707307;670,1282629;684,4901667
295;769,7536942;647,6521597;669,9317941;684,3853501
296;769,7271159;647,5978009;669,7381895;684,2824795
297;769,7008445;647,5442265;669,5473311;684,181602
298;769,6748449;647,491432;669,3590971;684,0827597
299;769,6490818;647,4394115;669,1733616;683,9859894
300;769,6235193;647,3881586;668,9899959;683,8913227
